"id";"name";"latitude";"longitude"
17;"Obamana OTC";-1.286313;36.829604
18;"Forward Travellers OTC";-1.285728;36.829769
19;"Risen Shuttle Ronald Ngala Street";-1.28586;36.827743
20;"City Shuttle BS";-1.287017;36.828741
21;"Super Metro BS";-1.28654;36.828736
22;"Ngumoline OTC";-1.28628;36.830431
23;"Latema Sacco Odeon";-1.283057;36.824924
24;"Ngong Road Railways (111)";-1.289441;36.827463
33;"DUTS Shuttle/PJE";-1.28431;36.830629
34;"MSL Operators";-1.28273;36.823823
35;"Metro Trans/ Expresso";-1.283016;36.824183
36;"Mwiki PSV Shuttle";-1.287192;36.830206
